SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.10345459;0;0;0
30.03125;15.77870882;180;3.483800283
103.0625;58.26124412;337;10.76830552
166.5625;94.70729427;445;16.37689235
222.25;120.9460167;497;19.85458706
173.8125;97.65514516;489;20.8514351
161.625;95.15334282;422;19.25533094
114.84375;75.05732085;301;15.24308797
57.203125;43.33477026;133;9.201770298
6.14453125;6.56183317;0;1.592372874
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.188232422;0;0;0
30.3359375;15.93390587;183;3.592074951
80.28125;47.12064631;340;10.896347
107.21875;62.84134288;449;16.52672584
77.5;45.22499434;501;20.02549615
76.90625;45.19227105;493;21.03934809
73.15625;45.02723952;427;19.4537302
65.96875;44.4379268;306;15.44523283
32.40625;26.07045418;138;9.402636173
2.890625;3.398118974;0;1.789277352
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.33972168;0;0;0
49.171875;24.1510023;186;3.706905616
156.5625;80.03104087;344;11.0310846
283.75;149.9364223;452;16.6833425
351.25;177.5460711;505;20.20313601
370.5;186.8759768;498;21.23372374
333.5;177.5619192;432;19.65809711
247.8125;147.7243404;311;15.65270027
124.09375;79.04978034;143;9.608148641
13.94921875;14.60871597;0;1.990221721
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.287109375;0;0;0
31.5859375;16.57380737;189;3.82827603
99.40625;56.27503937;347;11.17249075
163.8125;92.53924623;456;16.84670384
188.6875;103.6407628;510;20.38745736
188.3125;104.2476573;503;21.43450155
180.375;104.4666695;437;19.8683599
133.5;85.8505115;316;15.86540894
65.9375;49.04038413;149;9.818220427
7.30078125;8.67622156;0;2.195116992
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
