Unterchaching_mod;;;;;;;;;
bid;footprint_area;use;free_walls;lat;lon;NUTS_0;NUTS_1;NUTS_2;NUTS_3
149;170.105;3;4;48.065;11.615;Germany;Bavaria;Munich;Unterhaching
150;507.753;3;2;48.066;11.615;Germany;Bavaria;Munich;Unterhaching
151;205.134;2;4;48.065;11.614;Germany;Bavaria;Munich;Unterhaching
152;407.855;3;3;48.065;11.614;Germany;Bavaria;Munich;Unterhaching
153;487.888;3;3;48.065;11.615;Germany;Bavaria;Munich;Unterhaching
154;161.595;3;3;48.065;11.615;Germany;Bavaria;Munich;Unterhaching
155;182.376;0;4;48.065;11.614;Germany;Bavaria;Munich;Unterhaching
156;145.742;3;3;48.065;11.613;Germany;Bavaria;Munich;Unterhaching
157;108.170;3;3;48.065;11.615;Germany;Bavaria;Munich;Unterhaching
158;191.807;3;3;48.065;11.616;Germany;Bavaria;Munich;Unterhaching
159;61.148;1;4;48.072;11.604;Germany;Bavaria;Munich;Unterhaching
160;248.870;3;3;48.072;11.605;Germany;Bavaria;Munich;Unterhaching
161;84.543;1;4;48.071;11.605;Germany;Bavaria;Munich;Unterhaching
162;301.866;3;4;48.072;11.605;Germany;Bavaria;Munich;Unterhaching
163;840.745;3;4;48.071;11.608;Germany;Bavaria;Munich;Unterhaching
164;316.277;3;4;48.071;11.607;Germany;Bavaria;Munich;Unterhaching
165;145.212;2;4;48.061;11.610;Germany;Bavaria;Munich;Unterhaching
166;144.108;3;3;48.062;11.612;Germany;Bavaria;Munich;Unterhaching
167;175.546;3;2;48.062;11.612;Germany;Bavaria;Munich;Unterhaching
168;191.096;3;2;48.062;11.612;Germany;Bavaria;Munich;Unterhaching
169;183.034;3;3;48.062;11.612;Germany;Bavaria;Munich;Unterhaching
170;378.527;2;4;48.071;11.602;Germany;Bavaria;Munich;Unterhaching
171;146.370;2;4;48.071;11.602;Germany;Bavaria;Munich;Unterhaching
172;191.784;3;4;48.071;11.602;Germany;Bavaria;Munich;Unterhaching
173;266.589;3;4;48.071;11.602;Germany;Bavaria;Munich;Unterhaching
174;938.005;2;4;48.069;11.605;Germany;Bavaria;Munich;Unterhaching
175;265.016;3;4;48.066;11.611;Germany;Bavaria;Munich;Unterhaching
176;153.508;2;4;48.069;11.605;Germany;Bavaria;Munich;Unterhaching
177;53.511;3;4;48.070;11.600;Germany;Bavaria;Munich;Unterhaching
178;248.123;3;4;48.069;11.600;Germany;Bavaria;Munich;Unterhaching
179;224.159;3;4;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
180;136.549;3;4;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
181;178.928;3;4;48.062;11.608;Germany;Bavaria;Munich;Unterhaching
182;155.988;3;4;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
183;134.105;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
184;231.728;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
185;347.958;3;4;48.063;11.610;Germany;Bavaria;Munich;Unterhaching
186;200.594;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
187;114.222;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
