bid;area;use;free_walls;lat;lon;dist2hp
412;716.039987;2;3;48.07247219;11.60497823;1807.374877
413;574.2168969;3;4;48.07414284;11.60397374;1964.189498
414;353.9300705;3;4;48.0687264;11.6020237;1344.769842
415;331.4655369;3;4;48.06847739;11.60202842;1318.159522
416;314.137354;3;4;48.06842096;11.60250249;1322.038765
417;270.1486056;3;4;48.07700993;11.60224443;2249.388426
418;235.9231604;3;4;48.0787887;11.6070254;2523.126628
419;244.7962575;3;4;48.07889722;11.60382995;2477.132714
420;98.47799642;3;3;48.08043379;11.60171162;2620.440885
421;68.76726332;3;3;48.0803925;11.6018176;2616.88986
422;58.99122536;3;3;48.08031064;11.60214654;2611.139416
423;67.50525244;3;3;48.08128755;11.6002899;2703.874373
424;164.490252;3;3;48.08076886;11.60186134;2658.813375
425;98.74827786;3;3;48.08130373;11.60038784;2706.27771
426;108.8708402;3;3;48.08113306;11.59955049;2682.749374
427;308.2441395;3;3;48.08165867;11.60210795;2759.301911
428;142.7987223;3;3;48.08051741;11.60137833;2626.677405
429;68.81282835;3;3;48.08085846;11.60157526;2666.06443
430;123.7279255;3;3;48.08045529;11.60153004;2621.151838
431;153.4414594;3;3;48.08020068;11.60251063;2602.938553
432;58.20514466;3;3;48.08034516;11.60206537;2614.113511
433;142.9625855;3;3;48.08081343;11.60169977;2662.219445
434;499.2976841;3;4;48.08020243;11.60060169;2585.745804
435;149.9781004;3;3;48.08071409;11.60204193;2654.530284
436;142.9824909;3;3;48.08063798;11.60221639;2647.909944
437;60.66517487;3;3;48.08110805;11.5996452;2680.424375
438;109.3725494;3;3;48.08056155;11.60233705;2640.755221
439;98.93849681;3;3;48.08023687;11.6023814;2605.500946
440;1760.042759;0;4;48.05689438;11.60370116;477.3152064
441;291.679295;3;4;48.06297485;11.61635653;1565.493701
442;453.2006495;3;4;48.06303973;11.61598919;1543.788597
443;101.8890222;3;4;48.06322393;11.61635979;1577.557088
444;461.4113323;3;4;48.06319496;11.61566477;1529.629267
445;132.5011503;3;3;48.06410568;11.61646017;1629.145
446;101.9117261;3;4;48.06197401;11.61567564;1474.804543
447;363.6229359;3;4;48.06044855;11.62671757;2224.984146
448;202.9656132;3;3;48.06112505;11.62805246;2336.500174
449;205.2199598;3;3;48.061085;11.6278581;2321.424702
450;403.587749;3;4;48.0609038;11.62759015;2297.994764
451;349.4381291;3;4;48.07492389;11.60339913;2038.356571
452;199.5562729;3;3;48.07172977;11.60479545;1724.802541
453;336.9843034;0;4;48.07206408;11.60557605;1779.334239
454;160.1989742;0;3;48.0722367;11.605148;1786.655952
455;181.6580509;0;4;48.07231945;11.60535107;1800.340478
456;309.6133884;3;2;48.07191545;11.60465954;1741.133743
457;709.3778315;2;4;48.0792527;11.60454647;2526.773775
458;595.8446241;2;4;48.08005374;11.60495622;2620.337393
459;84.94650286;3;2;48.06952348;11.61021352;1687.789214
460;715.0139294;3;2;48.07041741;11.60968297;1749.17228
461;84.06016857;3;2;48.06928039;11.61035094;1671.594703
462;86.24764863;3;3;48.06931786;11.61052575;1682.584346
463;79.40639523;3;3;48.06958105;11.61047549;1704.227337
464;86.94318695;3;3;48.0692613;11.61026205;1666.017912
465;83.17041062;3;2;48.0695624;11.61039107;1698.911155
466;768.1643315;3;3;48.07076103;11.60968439;1781.799312
467;449.2245272;3;3;48.06930755;11.60977599;1649.521493
468;143.678648;3;3;48.0694557;11.61015831;1679.251553
469;232.9008777;3;2;48.06947401;11.60954649;1655.350502
470;318.9428331;3;3;48.06947705;11.6092335;1642.887395
471;313.5757242;3;4;48.07032818;11.61062401;1778.929948
472;737.9094187;3;3;48.07007788;11.6097364;1719.359444
473;80.86702866;3;2;48.06929906;11.61043741;1677.037283
474;57.7983229;3;4;48.0678034;11.6129363;1669.330672
475;295.7390413;3;4;48.07085308;11.61047425;1821.606644
476;91.62667967;3;2;48.06954267;11.61030198;1693.307209
477;83.35728623;3;2;48.06740107;11.60836812;1415.647208
478;84.76529608;3;3;48.06734435;11.60836845;1410.540008
479;80.82448917;3;2;48.0675841;11.60833785;1430.937883
480;77.70968445;3;4;48.0676162;11.6100843;1512.304074
481;94.05794985;3;2;48.067526;11.6083382;1425.671968
482;85.6406809;3;3;48.0676394;11.60833755;1435.960936
483;90.17305289;3;4;48.06755185;11.60979961;1493.426419
484;97.25909429;3;2;48.06746202;11.60836781;1421.146309
485;78.82359537;3;4;48.06764895;11.6097096;1497.728375
486;61.17524441;3;4;48.06052577;11.62864197;2367.869129
487;63.05955253;3;4;48.0605337;11.62821295;2336.466924
488;182.4355225;3;4;48.06763112;11.60479666;1302.031034
489;92.36266208;3;4;48.06858565;11.60521107;1411.269707
490;204.0740667;3;4;48.0678852;11.6027387;1270.706072
491;170.5002031;3;4;48.06765771;11.60454918;1296.91086
492;273.3955822;3;4;48.0679917;11.6019176;1263.924927
493;168.5272963;3;4;48.06802815;11.60165095;1262.577689
494;167.5061636;3;4;48.06806533;11.60134664;1260.959591
495;66.07972305;3;4;48.0681282;11.60106175;1262.868755
496;172.2038908;3;4;48.0681338;11.6007233;1258.121799
497;233.2962685;3;4;48.06744195;11.60474831;1281.496229
498;128.2596393;3;3;48.06818363;11.60049044;1260.160362
499;150.0849503;3;4;48.06821811;11.60022543;1260.361465
500;415.4054734;3;4;48.06753971;11.60945405;1476.430259
501;651.6392717;3;4;48.06766605;11.60417264;1286.325357
502;110.4751043;3;4;48.06796066;11.60218023;1266.086304
503;100.1716222;3;3;48.06819657;11.60035846;1259.758033
504;365.1926675;3;4;48.06684605;11.60786017;1343.438966
505;208.1007449;3;4;48.06790307;11.60248511;1266.69743
506;141.7173879;3;4;48.06733645;11.60793044;1390.977716
507;129.6971047;1;3;48.07244885;11.62001066;2407.325857
508;271.7886623;1;3;48.07213495;11.61897479;2328.419654
509;208.7475052;1;2;48.0723761;11.62016935;2409.931896
510;75.69935526;1;2;48.07216863;11.61921013;2343.30794
511;511.0866533;3;4;48.0734031;11.60526736;1912.426876
512;88.48217478;3;3;48.05895073;11.61870472;1609.312828
513;232.6489685;3;4;48.05909768;11.61835344;1585.612698
514;593.2918082;3;4;48.05944815;11.61834484;1591.027599
515;453.0997589;3;3;48.06540532;11.61468231;1593.939847
516;672.5294321;3;2;48.06564883;11.61696021;1749.411533
517;299.7666131;3;2;48.06580683;11.61621115;1712.836386
518;1026.953334;3;2;48.06554586;11.61649672;1714.244456
519;253.1039708;3;3;48.06525015;11.6169654;1725.925709
520;253.1619764;3;2;48.06540767;11.61701061;1738.084298
521;280.455539;3;3;48.0658747;11.6147374;1628.173372
522;371.7640565;3;2;48.06586412;11.61564955;1682.258771
523;362.6005343;3;3;48.06591781;11.61506724;1650.722146
524;237.2549998;3;2;48.06550853;11.61579293;1668.366038
525;735.0136171;3;1;48.0656922;11.61530284;1650.117339
526;428.8264246;3;1;48.06574076;11.61591138;1690.287938
527;51.28823688;3;4;48.0674354;11.61846532;1954.719861
528;335.7284346;3;4;48.0543506;11.6215702;1833.942252
529;487.1290989;3;4;48.05449442;11.62211032;1871.172898
530;178.9166029;3;4;48.05392873;11.62188212;1865.062431
531;524.9063782;3;4;48.05422143;11.62217169;1880.545743
532;290.9682034;3;4;48.0541272;11.62167853;1846.131075
533;170.1238879;3;4;48.05427502;11.62049049;1756.049456
534;233.6025945;3;4;48.05432795;11.62078895;1776.941982
535;189.9005411;3;4;48.05444545;11.62103208;1792.641476
536;375.5422812;3;4;48.05449224;11.62001734;1717.162051
537;139.1822048;3;4;48.05486955;11.62070047;1761.120663
538;232.1714156;3;4;48.05511771;11.62060172;1750.21595
539;185.4583959;3;4;48.05481185;11.62010534;1718.109749
540;231.1739815;3;4;48.05559448;11.62034741;1725.603239
541;196.6945496;3;4;48.05591552;11.62026837;1716.729728
542;111.3863549;3;4;48.056477;11.62024305;1711.360439
543;423.4154374;3;4;48.056088;11.6198475;1684.106163
544;619.6637928;0;4;48.05649371;11.61988035;1684.271126
545;502.6561944;3;4;48.0548679;11.62192844;1851.857528
546;446.5374234;3;4;48.05463895;11.62147918;1822.242663
547;490.9004869;3;4;48.05505358;11.62124258;1798.507626
548;110.9409332;3;4;48.05487434;11.62141073;1813.507379
549;142.4456121;3;4;48.05503285;11.6217877;1839.121871
550;183.0046336;3;4;48.05518845;11.62165228;1827.054048
551;307.4893845;3;4;48.05531864;11.6216236;1823.338666
552;707.1029798;3;4;48.05571925;11.62101571;1773.992501
553;434.1757103;3;4;48.05616455;11.6213227;1793.378998
554;959.1332355;0;4;48.05645385;11.62094492;1763.743694
555;599.7305888;0;4;48.05670784;11.62068493;1743.519439
556;127.7079125;3;4;48.05699295;11.62085138;1755.510431
557;370.9570152;3;4;48.05693407;11.62054633;1732.808867
558;396.0857801;3;4;48.05760253;11.61976091;1675.303792
559;469.366989;3;4;48.0571877;11.61993841;1687.498856
560;304.2596923;3;4;48.0578687;11.61936842;1647.422025
561;200.9966695;3;4;48.05838866;11.61942725;1655.969115
562;277.7728475;3;4;48.05817171;11.61951415;1660.445458
563;348.1397655;3;4;48.0579213;11.61964;1667.964154
564;288.5119524;3;4;48.05825876;11.61920651;1638.338537
565;246.3246288;3;4;48.05861567;11.61929798;1648.834537
566;163.3559786;3;4;48.0584478;11.61827368;1570.972557
567;597.6556311;0;3;48.0586522;11.61859603;1597.252783
568;532.4461351;3;4;48.05900118;11.61899194;1631.276152
569;925.6875197;3;4;48.05933329;11.61793971;1559.13525
570;241.341391;3;4;48.0599685;11.6176059;1547.810606
571;445.1899579;3;4;48.06009036;11.61799595;1579.09416
572;395.4411678;3;4;48.05776238;11.62021916;1710.167197
573;275.0922716;3;4;48.05783915;11.62057565;1737.121243
574;2843.118049;2;3;48.05950546;11.62488666;2074.255333
575;157.4413629;3;4;48.05790682;11.62099718;1768.892372
576;215.9646295;3;4;48.05857173;11.62007725;1706.125299
577;248.2946716;3;4;48.05834007;11.62009483;1705.080052
578;219.5736228;3;4;48.05818641;11.62062604;1743.229252
579;247.2156401;3;4;48.05820428;11.62095121;1767.549997
580;294.5173915;3;4;48.05872983;11.61982435;1689.211998
581;487.5988139;3;4;48.05864626;11.62047123;1736.178014
582;391.2816213;3;4;48.0584009;11.62062235;1744.836363
583;848.9152058;3;4;48.05856421;11.620987;1773.545242
584;1063.482906;3;4;48.05967275;11.62355736;1978.711348
585;514.6062829;3;4;48.05933268;11.6226979;1909.98609
586;227.91931;3;3;48.05943864;11.62217565;1873.035208
587;502.7256565;3;4;48.05967975;11.6227635;1920.31422
588;712.6738222;3;4;48.05869967;11.62205987;1854.604122
589;351.0949737;3;4;48.05901615;11.6217656;1836.6166
590;167.160168;3;4;48.0589992;11.61920255;1646.810261
591;183.197609;3;4;48.05887315;11.61939767;1659.466377
592;149.7358753;3;4;48.05923429;11.61921454;1651.327183
593;253.3490675;3;4;48.05996767;11.61909093;1656.204204
594;274.6569817;3;4;48.05967473;11.61919252;1657.601662
595;135.5293557;3;3;48.05940915;11.61917385;1651.295217
596;1794.508631;3;4;48.05709462;11.61907577;1623.133484
597;170.5485635;3;4;48.05745785;11.61916923;1630.70607
598;761.4900476;3;4;48.05735486;11.61853613;1583.246824
599;110.7568624;3;4;48.05924815;11.6177111;1540.796028
600;406.2631731;3;4;48.0589676;11.6175833;1526.735047
601;193.6036091;3;3;48.0585457;11.61805802;1556.096093
602;131.6611722;3;4;48.05814678;11.61828256;1568.689412
603;140.6879213;3;4;48.057817;11.61876288;1602.036797
604;249.1691715;3;4;48.05789585;11.6183951;1575.15415
605;723.4441237;3;4;48.05810627;11.61870657;1599.870249
606;432.7521993;3;4;48.05764152;11.61843525;1576.721986
607;264.0050792;3;4;48.06133436;11.61772924;1595.329204
608;720.2009003;0;4;48.0610686;11.61849162;1641.38213
609;280.7862452;3;3;48.06089422;11.61809619;1607.780144
610;404.4257462;3;3;48.06113719;11.61800243;1608.455136
611;234.2148989;3;4;48.06124845;11.61677535;1524.658674
612;498.2521962;3;3;48.06556405;11.61784138;1799.811577
613;937.8763904;3;4;48.06629329;11.61809894;1859.700409
614;209.1052721;3;4;48.065492;11.6181406;1814.667805
615;110.2011603;3;4;48.06628004;11.61781919;1841.53305
616;3264.466495;0;4;48.07375739;11.62004322;2514.500807
617;3924.61424;1;4;48.07286695;11.6198846;2434.093989
618;208.9573023;3;4;48.07417237;11.6046013;1979.705132
619;166.4881044;3;2;48.07772377;11.60554064;2379.004743
620;166.433544;3;2;48.07767681;11.60535782;2370.472107
621;166.5397689;3;3;48.07777287;11.60572226;2387.801449
622;167.1099522;3;3;48.07762982;11.60517484;2361.993326
623;66.74138273;3;3;48.06779325;11.61215015;1628.135979
624;71.02572509;3;3;48.06816368;11.61201819;1652.034289
625;69.84451372;3;3;48.06784751;11.61213656;1631.879999
626;71.50062374;3;3;48.06822045;11.61200259;1655.990061
627;65.79379289;3;3;48.06798039;11.61211445;1641.667264
628;80.21204847;3;4;48.06764855;11.6121857;1618.188112
629;62.15099497;3;3;48.06803282;11.61210098;1645.313236
630;541.0272982;3;4;48.06931276;11.61174848;1737.098797
631;97.96408571;3;3;48.06874838;11.61050855;1630.911829
632;98.25916632;3;3;48.06901105;11.6104251;1650.598923
633;212.9313014;3;4;48.06903418;11.61182407;1716.447758
634;64.94000822;3;2;48.0684157;11.6120343;1673.878597
635;88.37504471;3;2;48.06902902;11.61051181;1656.043272
636;88.17186722;3;2;48.06876587;11.61059624;1636.412263
637;65.02005637;3;3;48.06852281;11.61199565;1681.007488
638;131.5600288;3;4;48.06894742;11.61036011;1642.029734
639;64.52405752;3;2;48.06846937;11.61201499;1677.446264
640;150.1347436;3;4;48.06865556;11.61195556;1690.300489
641;180.8948925;3;4;48.06884116;11.61181487;1699.407682
642;87.33503003;3;3;48.0687823;11.61067895;1641.603662
643;401.2794365;3;4;48.0696001;11.61164707;1757.672901
644;87.13472333;3;3;48.06904618;11.61059345;1661.200097
645;56.37273586;3;3;48.0683649;11.61205197;1670.486718
646;840.9648846;0;3;48.05514241;11.60723998;770.7115212
647;671.5695439;0;2;48.0552149;11.60761553;795.5486219
648;522.0762558;0;3;48.0549965;11.60769365;807.7211997
649;439.2874185;3;3;48.06103362;11.62712092;2266.408773
650;123.3011835;3;4;48.06040425;11.62548405;2133.555308
651;77.05673561;3;4;48.0604252;11.62384505;2013.796305
652;138.3265131;3;4;48.06023373;11.62502197;2096.369053
653;360.7169057;3;4;48.06040067;11.62444463;2057.233485
654;321.0145987;3;4;48.06056619;11.62478426;2085.503938
655;245.3456877;3;4;48.06011425;11.62407395;2024.472399
656;109.9373893;3;4;48.0604831;11.6257195;2152.373998
657;145.8330163;3;4;48.06040895;11.62346307;1985.4859
658;171.895682;3;4;48.06032547;11.62525033;2114.879626
659;304.7092195;3;4;48.06073583;11.62512498;2114.027376
660;126.8661521;3;4;48.06015687;11.62436598;2046.728655
661;225.6860877;3;4;48.060078;11.62370575;1996.738298
662;201.4050563;3;4;48.06042766;11.62310443;1959.630209
663;235.9249559;3;4;48.06005794;11.62317544;1957.400399
664;207.6633584;3;4;48.06066665;11.62626681;2196.177748
665;147.0778679;3;4;48.0605973;11.62603345;2177.670754
666;183.2626359;3;4;48.06027282;11.62628295;2189.786876
667;272.3101408;3;4;48.06085075;11.62582855;2167.956278
668;403.5159401;3;3;48.06087746;11.6266765;2230.555018
669;319.4153252;3;3;48.07817851;11.60231407;2378.48334
670;276.250098;3;2;48.07812565;11.60209857;2370.202857
671;247.5565975;3;3;48.0780781;11.6018934;2362.712748
672;1364.354854;0;4;48.06566244;11.61065368;1380.81799
673;78.0930862;3;4;48.06623345;11.6085396;1320.383138
674;90.33364537;3;4;48.0662192;11.60880605;1331.858202
675;264.5033599;3;4;48.06584305;11.60812568;1267.259009
676;186.5047652;3;4;48.06584507;11.60841153;1281.100354
677;199.358018;3;4;48.06604852;11.60734661;1249.317695
678;191.6550334;3;4;48.06588997;11.60731336;1233.748815
679;174.9278619;3;4;48.06608927;11.60818392;1291.212404
680;163.9286745;3;4;48.06606587;11.60847103;1302.760335
681;206.7914795;3;3;48.0593078;11.62207845;1863.852766
