Unterchaching_mod;;;;;;;;;;;;;;;;;;;;;;;
bid;footprint_area;use;free_walls;lat;lon;dist_to_heat_source;NUTS_0;NUTS_1;NUTS_2;NUTS_3;year_class;size_class;ref_level_roof;ref_level_wall;ref_level_floor;ref_level_window;floors;area_corr_factor;storey_area;heated_area;dwellings;dwelling_size;occupants
103;1708.300;2;3;48.060;11.611;1090.542;;;;;;;;;;;;;;;;;
104;1543.438;2;2;48.061;11.611;1096.822;;;;;;;;;;;;;;;;;
105;178.322;3;4;48.062;11.609;1031.877;;;;;;;;;;;;;;;;;
106;200.639;2;2;48.061;11.611;1122.866;;;;;;;;;;;;;;;;;
107;112.470;2;2;48.060;11.611;1110.990;;;;;;;;;;;;;;;;;
108;1201.708;0;4;48.056;11.607;768.890;;;;;;;;;;;;;;;;;
109;5311.618;0;4;48.056;11.609;916.481;;;;;;;;;;;;;;;;;
110;2289.413;0;3;48.055;11.609;868.857;;;;;;;;;;;;;;;;;
111;2425.209;0;3;48.055;11.610;966.614;;;;;;;;;;;;;;;;;
112;670.050;0;3;48.056;11.608;837.111;;;;;;;;;;;;;;;;;
113;290.052;0;3;48.056;11.608;790.886;;;;;;;;;;;;;;;;;
114;295.190;0;3;48.056;11.607;759.924;;;;;;;;;;;;;;;;;
115;2147.336;0;4;48.055;11.606;701.173;;;;;;;;;;;;;;;;;
116;1098.903;0;4;48.056;11.606;669.228;;;;;;;;;;;;;;;;;
117;210.952;0;4;48.056;11.607;713.940;;;;;;;;;;;;;;;;;
118;5652.501;2;4;48.065;11.611;1304.575;;;;;;;;;;;;;;;;;
119;1148.351;1;4;48.057;11.607;710.146;;;;;;;;;;;;;;;;;
120;387.458;1;4;48.057;11.606;684.397;;;;;;;;;;;;;;;;;
121;890.858;1;4;48.057;11.607;750.682;;;;;;;;;;;;;;;;;
122;470.532;0;3;48.060;11.629;2404.444;;;;;;;;;;;;;;;;;
123;235.700;3;3;48.059;11.619;1628.982;;;;;;;;;;;;;;;;;
124;355.222;3;3;48.060;11.622;1904.273;;;;;;;;;;;;;;;;;
125;351.225;3;3;48.061;11.621;1783.816;;;;;;;;;;;;;;;;;
126;384.096;3;4;48.060;11.619;1688.385;;;;;;;;;;;;;;;;;
127;790.018;0;3;48.060;11.628;2349.988;;;;;;;;;;;;;;;;;
128;201.564;3;2;48.060;11.621;1775.678;;;;;;;;;;;;;;;;;
129;126.307;3;3;48.060;11.619;1633.323;;;;;;;;;;;;;;;;;
130;843.753;3;4;48.061;11.622;1910.566;;;;;;;;;;;;;;;;;
131;915.804;3;4;48.060;11.617;1534.885;;;;;;;;;;;;;;;;;
132;330.810;0;3;48.060;11.619;1629.822;;;;;;;;;;;;;;;;;
133;347.316;3;4;48.060;11.622;1859.296;;;;;;;;;;;;;;;;;
134;263.579;3;4;48.060;11.619;1654.552;;;;;;;;;;;;;;;;;
135;176.620;3;3;48.060;11.621;1787.495;;;;;;;;;;;;;;;;;
136;156.836;3;4;48.060;11.619;1673.506;;;;;;;;;;;;;;;;;
